#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
,neovim,"a tidier vim with some useful features"
,cmus,"lets you read play music."
,man-db,"lets you read man pages of programs."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pavucontrol,"PulseAudio Volume Control"
,pamixer,"is a command-line audio interface."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,dmenu,"runs commans and provides a UI for selection"
G,https://git.yasal.ru/nlif/slstatus,"serves as the modular status bar."
G,https://git.yasal.ru/nlif/st,"is my custom build of suckless's terminal emulator."
G,https://git.yasal.ru/nlif/dwm,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,veracrypt, "allows to use crypt device who is encrypted by veracrypt"
,firefox,"is a browser to surf a net"
,rsync,"is programm to copy/sync files"
,pass,"is program to CLI password managent"
,zsh,""
,zsh-autosuggestions,""
,zsh-syntax-highlighting,""
A,xkb-switch,"library to vim xkb-switch plugin, used for comf. use of mother language in vim."
,xmobar,
,xmonad,"A dynamically tiling X11 window manager that is written and configured in Haskell."
,xmonad-contrib, "a ;ibrary to A dynamically tiling X11 window manager that is written and configured in Haskell."
,virt-manager,"a qemu/kvm gui manager"
,qemu,"QEMU is a free and open-source emulator and virtualizer that can perform hardware virtualization."
,tmux,"is a terminal multiplexer"
,ufw,"uncomplicated firewall"
,pdftk,"Command-line tool for working with PDFs"
,texlive-most,"All what you need work with tex"
,pandoc,"tool for Conversion between markup formats"
,evolution," a gui task manager"
A,evolution-etesync," support for etesync protocol for evolution"